Series Name,Series Code,Country Name,Country Code,2010 [YR2010]
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,569.940728793286
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,4094.36020359235
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,4473.48744799511
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,ADO,39639.386021211
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,3886.47849419391
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,13017.3103875487
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,11227.8384960848
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,3124.78401786195
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,24289.1415161326
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,51801.0489492732
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,46593.3892166807
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,5842.80578358576
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,21920.5165867583
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,20386.0175551116
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,760.331935200195
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,15901.4329353355
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,5818.8548592158
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,44360.9016865863
GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,4344.13666906088
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,690.002281084204
GDP per capita (current US$),NY.GDP.PCAP.CD,Bermuda,BMU,88207.3275597322
GDP per capita (current US$),NY.GDP.PCAP.CD,Bhutan,BTN,2201.29307778936
GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,1981.16010525701
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,4392.79262538464
GDP per capita (current US$),NY.GDP.PCAP.CD,Botswana,BWA,6244.006548817
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,11124.0768823607
GDP per capita (current US$),NY.GDP.PCAP.CD,Brunei Darussalam,BRN,31453.0059440482
GDP per capita (current US$),NY.GDP.PCAP.CD,Bulgaria,BGR,6580.81387480713
GDP per capita (current US$),NY.GDP.PCAP.CD,Burkina Faso,BFA,574.458089293656
GDP per capita (current US$),NY.GDP.PCAP.CD,Burundi,BDI,214.230985038468
GDP per capita (current US$),NY.GDP.PCAP.CD,Cabo Verde,CPV,3393.92721226559
GDP per capita (current US$),NY.GDP.PCAP.CD,Cambodia,KHM,782.692789877004
GDP per capita (current US$),NY.GDP.PCAP.CD,Cameroon,CMR,1147.2423467852
GDP per capita (current US$),NY.GDP.PCAP.CD,Canada,CAN,47463.6311923649
GDP per capita (current US$),NY.GDP.PCAP.CD,Cayman Islands,CYM,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Central African Republic,CAF,446.800204552837
GDP per capita (current US$),NY.GDP.PCAP.CD,Chad,TCD,895.877995851542
GDP per capita (current US$),NY.GDP.PCAP.CD,Channel Islands,CHI,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Chile,CHL,12785.0518749447
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,4514.94052013381
GDP per capita (current US$),NY.GDP.PCAP.CD,Colombia,COL,6250.65449979147
GDP per capita (current US$),NY.GDP.PCAP.CD,Comoros,COM,759.263222965797
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Dem. Rep.",ZAR,311.247895988429
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Rep.",COG,2953.18500787675
GDP per capita (current US$),NY.GDP.PCAP.CD,Costa Rica,CRI,7985.95103532732
GDP per capita (current US$),NY.GDP.PCAP.CD,Cote d'Ivoire,CIV,1236.0851442355
GDP per capita (current US$),NY.GDP.PCAP.CD,Croatia,HRV,13505.7656168629
GDP per capita (current US$),NY.GDP.PCAP.CD,Cuba,CUB,5688.66673216525
GDP per capita (current US$),NY.GDP.PCAP.CD,Curacao,CUW,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Cyprus,CYP,30438.9001948061
GDP per capita (current US$),NY.GDP.PCAP.CD,Czech Republic,CZE,19763.9637984737
GDP per capita (current US$),NY.GDP.PCAP.CD,Denmark,DNK,57647.668762065
GDP per capita (current US$),NY.GDP.PCAP.CD,Djibouti,DJI,1358.46050004911
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominica,DMA,6926.8475973831
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominican Republic,DOM,5358.96794361107
GDP per capita (current US$),NY.GDP.PCAP.CD,Ecuador,ECU,4657.30173745799
GDP per capita (current US$),NY.GDP.PCAP.CD,"Egypt, Arab Rep.",EGY,2668.03598826159
GDP per capita (current US$),NY.GDP.PCAP.CD,El Salvador,SLV,3547.07098315322
GDP per capita (current US$),NY.GDP.PCAP.CD,Equatorial Guinea,GNQ,15869.6527116846
GDP per capita (current US$),NY.GDP.PCAP.CD,Eritrea,ERI,451.426692978845
GDP per capita (current US$),NY.GDP.PCAP.CD,Estonia,EST,14632.0822062969
GDP per capita (current US$),NY.GDP.PCAP.CD,Ethiopia,ETH,341.858956165333
GDP per capita (current US$),NY.GDP.PCAP.CD,Faeroe Islands,FRO,47381.5227624969
GDP per capita (current US$),NY.GDP.PCAP.CD,Fiji,FJI,3651.94242614479
GDP per capita (current US$),NY.GDP.PCAP.CD,Finland,FIN,46205.1660111855
GDP per capita (current US$),NY.GDP.PCAP.CD,France,FRA,40705.7662299421
GDP per capita (current US$),NY.GDP.PCAP.CD,French Polynesia,PYF,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Gabon,GAB,9388.23283412454
GDP per capita (current US$),NY.GDP.PCAP.CD,"Gambia, The",GMB,562.212735081206
GDP per capita (current US$),NY.GDP.PCAP.CD,Georgia,GEO,2613.75692472768
GDP per capita (current US$),NY.GDP.PCAP.CD,Germany,DEU,41725.8500720167
GDP per capita (current US$),NY.GDP.PCAP.CD,Ghana,GHA,1323.09914056856
GDP per capita (current US$),NY.GDP.PCAP.CD,Greece,GRC,26863.0116050517
GDP per capita (current US$),NY.GDP.PCAP.CD,Greenland,GRL,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Grenada,GRD,7366.57633588191
GDP per capita (current US$),NY.GDP.PCAP.CD,Guam,GUM,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Guatemala,GTM,2805.94799750235
GDP per capita (current US$),NY.GDP.PCAP.CD,Guinea,GIN,430.0564738591
GDP per capita (current US$),NY.GDP.PCAP.CD,Guinea-Bissau,GNB,518.598360839748
GDP per capita (current US$),NY.GDP.PCAP.CD,Guyana,GUY,2998.94127424089
GDP per capita (current US$),NY.GDP.PCAP.CD,Haiti,HTI,662.279381247291
GDP per capita (current US$),NY.GDP.PCAP.CD,Honduras,HND,2110.8220208871
GDP per capita (current US$),NY.GDP.PCAP.CD,"Hong Kong SAR, China",HKG,32550.1378717655
GDP per capita (current US$),NY.GDP.PCAP.CD,Hungary,HUN,12958.2707011137
GDP per capita (current US$),NY.GDP.PCAP.CD,Iceland,ISL,41695.8945861852
GDP per capita (current US$),NY.GDP.PCAP.CD,India,IND,1387.88008401275
GDP per capita (current US$),NY.GDP.PCAP.CD,Indonesia,IDN,3125.21993359966
GDP per capita (current US$),NY.GDP.PCAP.CD,"Iran, Islamic Rep.",IRN,5690.89451143955
GDP per capita (current US$),NY.GDP.PCAP.CD,Iraq,IRQ,4487.36628937513
GDP per capita (current US$),NY.GDP.PCAP.CD,Ireland,IRL,47903.6813267378
GDP per capita (current US$),NY.GDP.PCAP.CD,Isle of Man,IMY,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Israel,ISR,30551.1246771895
GDP per capita (current US$),NY.GDP.PCAP.CD,Italy,ITA,35877.8714947865
GDP per capita (current US$),NY.GDP.PCAP.CD,Jamaica,JAM,4917.02320183077
GDP per capita (current US$),NY.GDP.PCAP.CD,Japan,JPN,42909.2341523544
GDP per capita (current US$),NY.GDP.PCAP.CD,Jordan,JOR,4370.72104476013
GDP per capita (current US$),NY.GDP.PCAP.CD,Kazakhstan,KAZ,9070.64997199985
GDP per capita (current US$),NY.GDP.PCAP.CD,Kenya,KEN,991.850545143199
GDP per capita (current US$),NY.GDP.PCAP.CD,Kiribati,KIR,1465.55903215115
GDP per capita (current US$),NY.GDP.PCAP.CD,"Korea, Dem. Rep.",PRK,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Korea, Rep.",KOR,22151.2091243629
GDP per capita (current US$),NY.GDP.PCAP.CD,Kosovo,KSV,3283.21193843172
GDP per capita (current US$),NY.GDP.PCAP.CD,Kuwait,KWT,37724.2737850024
GDP per capita (current US$),NY.GDP.PCAP.CD,Kyrgyz Republic,KGZ,880.037775119108
GDP per capita (current US$),NY.GDP.PCAP.CD,Lao PDR,LAO,1147.09538849898
GDP per capita (current US$),NY.GDP.PCAP.CD,Latvia,LVA,11379.2356381201
GDP per capita (current US$),NY.GDP.PCAP.CD,Lebanon,LBN,8763.79596416551
GDP per capita (current US$),NY.GDP.PCAP.CD,Lesotho,LSO,1087.95019540005
GDP per capita (current US$),NY.GDP.PCAP.CD,Liberia,LBR,326.604433014444
GDP per capita (current US$),NY.GDP.PCAP.CD,Libya,LBY,11933.7792588018
GDP per capita (current US$),NY.GDP.PCAP.CD,Liechtenstein,LIE,140101.967275142
GDP per capita (current US$),NY.GDP.PCAP.CD,Lithuania,LTU,11976.9011427973
GDP per capita (current US$),NY.GDP.PCAP.CD,Luxembourg,LUX,102863.095724628
GDP per capita (current US$),NY.GDP.PCAP.CD,"Macao SAR, China",MAC,53045.8790094043
GDP per capita (current US$),NY.GDP.PCAP.CD,"Macedonia, FYR",MKD,4561.17836379433
GDP per capita (current US$),NY.GDP.PCAP.CD,Madagascar,MDG,414.142787218657
GDP per capita (current US$),NY.GDP.PCAP.CD,Malawi,MWI,365.516569542613
GDP per capita (current US$),NY.GDP.PCAP.CD,Malaysia,MYS,8802.91348994664
GDP per capita (current US$),NY.GDP.PCAP.CD,Maldives,MDV,7013.35428382646
GDP per capita (current US$),NY.GDP.PCAP.CD,Mali,MLI,621.22302302877
GDP per capita (current US$),NY.GDP.PCAP.CD,Malta,MLT,19694.0831567142
GDP per capita (current US$),NY.GDP.PCAP.CD,Marshall Islands,MHL,3126.51636530098
GDP per capita (current US$),NY.GDP.PCAP.CD,Mauritania,MRT,1207.82745747508
GDP per capita (current US$),NY.GDP.PCAP.CD,Mauritius,MUS,7772.10005652754
GDP per capita (current US$),NY.GDP.PCAP.CD,Mexico,MEX,8861.49369730697
GDP per capita (current US$),NY.GDP.PCAP.CD,"Micronesia, Fed. Sts.",FSM,2838.44854708113
GDP per capita (current US$),NY.GDP.PCAP.CD,Moldova,MDA,1631.53583179532
GDP per capita (current US$),NY.GDP.PCAP.CD,Monaco,MCO,145221.191568424
GDP per capita (current US$),NY.GDP.PCAP.CD,Mongolia,MNG,2650.34688488399
GDP per capita (current US$),NY.GDP.PCAP.CD,Montenegro,MNE,6636.87502851915
GDP per capita (current US$),NY.GDP.PCAP.CD,Morocco,MAR,2782.6717971832
GDP per capita (current US$),NY.GDP.PCAP.CD,Mozambique,MOZ,416.059336428601
GDP per capita (current US$),NY.GDP.PCAP.CD,Myanmar,MMR,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Namibia,NAM,5139.05360880406
GDP per capita (current US$),NY.GDP.PCAP.CD,Nepal,NPL,595.427519830012
GDP per capita (current US$),NY.GDP.PCAP.CD,Netherlands,NLD,50341.251919716
GDP per capita (current US$),NY.GDP.PCAP.CD,New Caledonia,NCL,..
GDP per capita (current US$),NY.GDP.PCAP.CD,New Zealand,NZL,33394.0693361365
GDP per capita (current US$),NY.GDP.PCAP.CD,Nicaragua,NIC,1523.48146924241
GDP per capita (current US$),NY.GDP.PCAP.CD,Niger,NER,351.006218346786
GDP per capita (current US$),NY.GDP.PCAP.CD,Nigeria,NGA,2314.96353665347
GDP per capita (current US$),NY.GDP.PCAP.CD,Northern Mariana Islands,MNP,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Norway,NOR,87646.2700974708
GDP per capita (current US$),NY.GDP.PCAP.CD,Oman,OMN,19920.6495686354
GDP per capita (current US$),NY.GDP.PCAP.CD,Pakistan,PAK,1043.30020503812
GDP per capita (current US$),NY.GDP.PCAP.CD,Palau,PLW,9004.63721642892
GDP per capita (current US$),NY.GDP.PCAP.CD,Panama,PAN,7958.58368968316
GDP per capita (current US$),NY.GDP.PCAP.CD,Papua New Guinea,PNG,1418.92663451668
GDP per capita (current US$),NY.GDP.PCAP.CD,Paraguay,PRY,3228.32775609855
GDP per capita (current US$),NY.GDP.PCAP.CD,Peru,PER,5056.3290944498
GDP per capita (current US$),NY.GDP.PCAP.CD,Philippines,PHL,2145.24171053314
GDP per capita (current US$),NY.GDP.PCAP.CD,Poland,POL,12530.3070997379
GDP per capita (current US$),NY.GDP.PCAP.CD,Portugal,PRT,22539.9945043592
GDP per capita (current US$),NY.GDP.PCAP.CD,Puerto Rico,PRI,26435.7259802226
GDP per capita (current US$),NY.GDP.PCAP.CD,Qatar,QAT,70870.2265835221
GDP per capita (current US$),NY.GDP.PCAP.CD,Romania,ROM,8139.14667335628
GDP per capita (current US$),NY.GDP.PCAP.CD,Russian Federation,RUS,10674.9972024184
GDP per capita (current US$),NY.GDP.PCAP.CD,Rwanda,RWA,553.597457610684
GDP per capita (current US$),NY.GDP.PCAP.CD,Samoa,WSM,3530.57399435295
GDP per capita (current US$),NY.GDP.PCAP.CD,San Marino,SMR,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Sao Tome and Principe,STP,1176.48593505139
GDP per capita (current US$),NY.GDP.PCAP.CD,Saudi Arabia,SAU,18753.9812332079
GDP per capita (current US$),NY.GDP.PCAP.CD,Senegal,SEN,998.119695502128
GDP per capita (current US$),NY.GDP.PCAP.CD,Serbia,SRB,5411.87740391911
GDP per capita (current US$),NY.GDP.PCAP.CD,Seychelles,SYC,10805.0994540818
GDP per capita (current US$),NY.GDP.PCAP.CD,Sierra Leone,SLE,446.341765694627
GDP per capita (current US$),NY.GDP.PCAP.CD,Singapore,SGP,46569.688541916
GDP per capita (current US$),NY.GDP.PCAP.CD,Sint Maarten (Dutch part),SXM,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Slovak Republic,SVK,16509.8969196661
GDP per capita (current US$),NY.GDP.PCAP.CD,Slovenia,SVN,23417.6404531573
GDP per capita (current US$),NY.GDP.PCAP.CD,Solomon Islands,SLB,1276.34851310464
GDP per capita (current US$),NY.GDP.PCAP.CD,Somalia,SOM,..
GDP per capita (current US$),NY.GDP.PCAP.CD,South Africa,ZAF,7389.96026361652
GDP per capita (current US$),NY.GDP.PCAP.CD,South Sudan,SSD,1563.94857114065
GDP per capita (current US$),NY.GDP.PCAP.CD,Spain,ESP,30737.8322708385
GDP per capita (current US$),NY.GDP.PCAP.CD,Sri Lanka,LKA,2399.920468625
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Kitts and Nevis,KNA,13226.952311419
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Lucia,LCA,7014.19644868519
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Martin (French part),MAF,..
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Vincent and the Grenadines,VCT,6233.03694488151
GDP per capita (current US$),NY.GDP.PCAP.CD,Sudan,SDN,1421.53237527134
GDP per capita (current US$),NY.GDP.PCAP.CD,Suriname,SUR,8430.85478335862
GDP per capita (current US$),NY.GDP.PCAP.CD,Swaziland,SWZ,2956.69679468117
GDP per capita (current US$),NY.GDP.PCAP.CD,Sweden,SWE,52076.4305245885
GDP per capita (current US$),NY.GDP.PCAP.CD,Switzerland,CHE,74277.1216031631
GDP per capita (current US$),NY.GDP.PCAP.CD,Syrian Arab Republic,SYR,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Tajikistan,TJK,744.189892165383
GDP per capita (current US$),NY.GDP.PCAP.CD,Tanzania,TZA,712.233164121615
GDP per capita (current US$),NY.GDP.PCAP.CD,Thailand,THA,4781.79939106487
GDP per capita (current US$),NY.GDP.PCAP.CD,Timor-Leste,TMP,875.836569271265
GDP per capita (current US$),NY.GDP.PCAP.CD,Togo,TGO,496.482472580306
GDP per capita (current US$),NY.GDP.PCAP.CD,Tonga,TON,3557.75988165044
GDP per capita (current US$),NY.GDP.PCAP.CD,Trinidad and Tobago,TTO,15494.7029665448
GDP per capita (current US$),NY.GDP.PCAP.CD,Tunisia,TUN,4212.15466690892
GDP per capita (current US$),NY.GDP.PCAP.CD,Turkey,TUR,10111.5177086398
GDP per capita (current US$),NY.GDP.PCAP.CD,Turkmenistan,TKM,4392.71958330752
GDP per capita (current US$),NY.GDP.PCAP.CD,Turks and Caicos Islands,TCA,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Tuvalu,TUV,3238.49611054575
GDP per capita (current US$),NY.GDP.PCAP.CD,Uganda,UGA,567.245344482894
GDP per capita (current US$),NY.GDP.PCAP.CD,Ukraine,UKR,2973.99648071562
GDP per capita (current US$),NY.GDP.PCAP.CD,United Arab Emirates,ARE,34341.9112913748
GDP per capita (current US$),NY.GDP.PCAP.CD,United Kingdom,GBR,38362.2171225955
GDP per capita (current US$),NY.GDP.PCAP.CD,United States,USA,48374.0564565966
GDP per capita (current US$),NY.GDP.PCAP.CD,Uruguay,URY,11938.2155396173
GDP per capita (current US$),NY.GDP.PCAP.CD,Uzbekistan,UZB,1377.08214046938
GDP per capita (current US$),NY.GDP.PCAP.CD,Vanuatu,VUT,2965.75121006956
GDP per capita (current US$),NY.GDP.PCAP.CD,"Venezuela, RB",VEN,13581.3533771018
GDP per capita (current US$),NY.GDP.PCAP.CD,Vietnam,VNM,1333.58352635481
GDP per capita (current US$),NY.GDP.PCAP.CD,Virgin Islands (U.S.),VIR,..
GDP per capita (current US$),NY.GDP.PCAP.CD,West Bank and Gaza,WBG,2338.71987682303
GDP per capita (current US$),NY.GDP.PCAP.CD,"Yemen, Rep.",YEM,1310.05383929542
GDP per capita (current US$),NY.GDP.PCAP.CD,Zambia,ZMB,1456.12652618031
GDP per capita (current US$),NY.GDP.PCAP.CD,Zimbabwe,ZWE,676.748093328326
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 11/12/2015,,,,
